expression,reading,meaning,tags,guid,example_jp,example_reading_hiragana,example_ko
唱える,となえる,"외치다, 주장하다",JLPT_1 JLPT,"5=9guN$Q3,",市民団体は核兵器の廃絶を唱えた。,しみんだんたいはかくへいきのはいぜつをとなえた。,시민 단체는 핵무기 폐기를 주장했다.
隣,となり,이웃,JLPT_1 JLPT,FZ*SfrSU3q,電車で隣に座った人と話した。,でんしゃでとなりにすわったひととはなした。,전철에서 옆자리에 앉은 사람과 이야기했다.
乏しい,とぼしい,"부족하다, 가난하다",JLPT_1 JLPT,"orL#,u}:nA",この地域は雨が少なく水資源に乏しい。,このちいきはあめがすくなくみずしげんにとぼしい。,이 지역은 비가 적어 수자원이 부족하다.
取り除く,とりのぞく,제거하다,JLPT_1 JLPT,a6SZ]$[I.h,作業前に床の障害物を取り除いた。,さぎょうまえにゆかのしょうがいぶつをとりのぞいた。,작업 전에 바닥의 장애물을 제거했다.
泥沼,どろぬま,수렁,JLPT_1 JLPT,l~Asmk*#yl,交渉は長引き、抜け出せない泥沼に陥った。,こうしょうはながびき、ぬけだせないどろぬまにおちいった。,협상이 길어지며 빠져나올 수 없는 수렁에 빠졌다.
問屋,とんや,도매상,JLPT_1 JLPT,VH]WS.l{=&,この商品は問屋から直接仕入れている。,このしょうひんはとんやからちょくせつしいれている。,이 상품은 도매상에서 직접 들여온다.
苗,なえ,모종,JLPT_1 JLPT,"I5,4/ECn/5",畑にトマトの苗を等間隔で植えた。,はたけにとまとのなえをとうかんかくでうえた。,밭에 토마토 모종을 같은 간격으로 심었다.
眺める,ながめる,바라보다,JLPT_1 JLPT,g<.$UON4+9,窓から降り続く雪を静かに眺めた。,まどからふりつづくゆきをしずかにながめた。,창밖으로 계속 내리는 눈을 조용히 바라봤다.
慰める,なぐさめる,"달래다, 위로하다",JLPT_1 JLPT,JqVxR@cOYT,友人は落ち込んだ私を優しく慰めた。,ゆうじんはおちこんだわたしをやさしくなぐさめた。,친구는 풀이 죽은 나를 다정하게 위로했다.
嘆く,なげく,탄식하다,JLPT_1 JLPT,WUUmVDP7XC,住民は変わり果てた故郷の姿を嘆いた。,じゅうみんはかわりはてたふるさとのすがたをなげいた。,주민들은 완전히 변해 버린 고향의 모습을 한탄했다.
名残,なごり,"여운, 흔적",JLPT_1 JLPT,"-Mg@h,5Hf8",庭の隅にはまだ雪の名残がある。,にわのすみにはまだゆきのなごりがある。,정원 구석에는 아직 눈의 흔적이 남아 있다.
倣う,ならう,"모방하다, 따르다",JLPT_1 JLPT,QQK6d)2|<C,先輩のやり方に倣って資料を整理した。,せんぱいのやりかたにならってしりょうをせいりした。,선배의 방식을 따라 자료를 정리했다.
日夜,にちや,"① 밤낮 ② 언제나, 늘",JLPT_1 JLPT,",-NQh|Q~?)",研究者たちは日夜、新薬の開発に励んだ。,けんきゅうしゃたちはにちや、しんやくのかいはつにはげんだ。,연구자들은 밤낮으로 신약 개발에 힘썼다.
鈍い,にぶい,둔하다,JLPT_1 JLPT,&X#1=5%s:C,風邪を引いて味覚が鈍くなった。,かぜをひいてみかくがにぶくなった。,감기에 걸려 미각이 둔해졌다.
鈍る,にぶる,둔해지다,JLPT_1 JLPT,r?NLa(=(a1,寒さで指先の感覚が鈍ってきた。,さむさでゆびさきのかんかくがにぶってきた。,추위로 손끝의 감각이 둔해졌다.
如実に,にょじつに,"여실히, 있는 그대로",JLPT_1 JLPT,f+LN2es=z5,売上の減少が不況の影響を如実に示している。,うりあげのげんしょうがふきょうのえいきょうをにょじつにしめしている。,매출 감소가 불황의 영향을 여실히 보여 준다.
認識,にんしき,인식,JLPT_1 JLPT,"WK,uLV2SH1",双方の間には大きな認識のずれがある。,そうほうのあいだにはおおきなにんしきのずれがある。,양측 사이에는 큰 인식 차이가 있다.
忍耐,にんたい,인내,JLPT_1 JLPT,&Z+j7[_92j,長期の訓練には強い忍耐が求められる。,ちょうきのくんれんにはつよいにんたいがもとめられる。,장기간의 훈련에는 강한 인내가 요구된다.
縫う,ぬう,꿰매다,JLPT_1 JLPT,r3v7<wmmTH,破れた制服の袖を母が縫ってくれた。,やぶれたせいふくのそでをははがぬってくれた。,찢어진 교복 소매를 어머니가 꿰매 주셨다.
粘る,ねばる,끈덕지게 버티다,JLPT_1 JLPT,"XI9FUqU,bN",九回裏まで粘って同点に追いついた。,きゅうかいうらまでねばってどうてんにおいついた。,9회 말까지 버텨 동점을 만들었다.
狙う,ねらう,노리다,JLPT_1 JLPT,A-6!#:71qb,泥棒は留守の家を狙って侵入した。,どろぼうはるすのいえをねらってしんにゅうした。,도둑은 빈집을 노려 침입했다.
粘膜,ねんまく,점막,JLPT_1 JLPT,_hirf_~)wv,鼻の粘膜が乾燥して痛む。,はなのねんまくがかんそうしていたむ。,코 점막이 건조해 아프다.
臨む,のぞむ,임하다,JLPT_1 JLPT,k_JnV>qS7z,選手たちは決勝戦に万全の状態で臨んだ。,せんしゅたちはけっしょうせんにばんぜんのじょうたいでのぞんだ。,선수들은 완벽한 상태로 결승전에 임했다.
把握,はあく,파악,JLPT_1 JLPT,zu=yp$o3Ba,担当者が現場の状況を正確に把握した。,たんとうしゃがげんばのじょうきょうをせいかくにはあくした。,담당자가 현장 상황을 정확히 파악했다.
廃棄物,はいきぶつ,폐기물,JLPT_1 JLPT,%KvN.mZ&QR,工場から出る廃棄物を適切に処理する。,こうじょうからでるはいきぶつをてきせつにしょりする。,공장에서 나오는 폐기물을 적절히 처리한다.
背後,はいご,"등 뒤, 배후",JLPT_1 JLPT,G@ub[U!ZJz,事件の背後に大きな組織が存在する。,じけんのはいごにおおきなそしきがそんざいする。,사건의 배후에 큰 조직이 존재한다.
映える,はえる,"빛나다, 사진이 잘 받다",JLPT_1 JLPT,fRXiHnIWiA,白い皿に赤い料理がよく映える。,しろいさらにあかいりょうりがよくはえる。,흰 접시에 붉은 요리가 잘 돋보인다.
漠然,ばくぜん,막연함,JLPT_1 JLPT,"iwze^[-,uU",将来への漠然とした不安を抱えている。,しょうらいへのばくぜんとしたふあんをかかえている。,미래에 대한 막연한 불안을 안고 있다.
暴露,ばくろ,폭로,JLPT_1 JLPT,HGYJT^2Q/Z,内部文書の暴露で不正が明らかになった。,ないぶぶんしょのばくろでふせいがあきらかになった。,내부 문서 폭로로 부정행위가 드러났다.
励む,はげむ,"힘쓰다, 노력하다",JLPT_1 JLPT,Q4d]Z3{aL-,彼は毎朝早くから水泳の練習に励んでいる。,かれはまいあさはやくからすいえいのれんしゅうにはげんでいる。,그는 매일 아침 일찍부터 수영 연습에 힘쓰고 있다.
端,はし,"끝, 가장자리",JLPT_1 JLPT,e^J+(qi3Ji,机の端に置いた本が床に落ちた。,つくえのはしにおいたほんがゆかにおちた。,책상 끝에 놓은 책이 바닥에 떨어졌다.
派生,はせい,파생,JLPT_1 JLPT,F*9l2$3E|s,この言葉から多くの表現が派生した。,このことばからおおくのひょうげんがはせいした。,이 말에서 많은 표현이 파생되었다.
破損,はそん,파손,JLPT_1 JLPT,HtWY_R+^#7,配送中に箱の一部が破損した。,はいそうちゅうにはこのいちぶがはそんした。,배송 중에 상자 일부가 파손되었다.
鉢,はち,"화분, 사발",JLPT_1 JLPT,Bo^4BLH*pd,大きな鉢に観葉植物を植え替えた。,おおきなはちにかんようしょくぶつをうえかえた。,큰 화분에 관엽식물을 옮겨 심었다.
発掘,はっくつ,발굴,JLPT_1 JLPT,"#4-ER,P}uG",遺跡から貴重な土器が発掘された。,いせきからきちょうなどきがはっくつされた。,유적에서 귀중한 토기가 발굴되었다.
華やか,はなやか,화려함,JLPT_1 JLPT,"o/n,ci{O4d",会場は華やかな花で飾られていた。,かいじょうははなやかなはなでかざられていた。,행사장은 화려한 꽃으로 장식되어 있었다.
阻む,はばむ,"막다, 저지하다",JLPT_1 JLPT,4~Obq8q-B*,険しい岩壁が登山者の行く手を阻んだ。,けわしいがんぺきがとざんしゃのゆくてをはばんだ。,험한 암벽이 등산객의 앞길을 가로막았다.
浜辺,はまべ,바닷가,JLPT_1 JLPT,T$TP~@<qBw,子供たちは浜辺で砂の城を作った。,こどもたちははまべですなのしろをつくった。,아이들은 바닷가에서 모래성을 만들었다.
犯罪,はんざい,범죄,JLPT_1 JLPT,>u)EopzkDB,防犯カメラが犯罪の抑止に役立つ。,ぼうはんかめらがはんざいのよくしにやくだつ。,방범 카메라는 범죄 억제에 도움이 된다.
反射,はんしゃ,반사,JLPT_1 JLPT,jjOtRbn^4x,鏡が窓から差す光を反射した。,かがみがまどからさすひかりをはんしゃした。,거울이 창문으로 들어오는 빛을 반사했다.
繁殖,はんしょく,번식,JLPT_1 JLPT,HXh:0Kv[.B,暖かくなると害虫が急速に繁殖する。,あたたかくなるとがいちゅうがきゅうそくにはんしょくする。,날씨가 따뜻해지면 해충이 빠르게 번식한다.
万能,ばんのう,만능,JLPT_1 JLPT,?vBxyE+5l[,どんな病気にも効く万能薬はない。,どんなびょうきにもきくばんのうやくはない。,어떤 병에나 듣는 만능약은 없다.
被害者,ひがいしゃ,피해자,JLPT_1 JLPT,a2Gj;.{FQ0,被害者は法廷で当時の状況を語った。,ひがいしゃはほうていでとうじのじょうきょうをかたった。,피해자는 법정에서 당시 상황을 말했다.
悲惨,ひさん,비참함,JLPT_1 JLPT,|^Gy~#F327,戦争で町は悲惨な姿に変わった。,せんそうでまちはひさんなすがたにかわった。,전쟁으로 도시는 비참한 모습으로 변했다.
潜む,ひそむ,"숨어 있다, 잠재하다",JLPT_1 JLPT,z:$:SbepbQ,森には多くの危険が潜んでいる。,もりにはおおくのきけんがひそんでいる。,숲에는 많은 위험이 숨어 있다.
人影,ひとかげ,"사람의 그림자, 인적",JLPT_1 JLPT,Gdtq1>DGa`,暗い路地の奥に人影が見えた。,くらいろじのおくにひとかげがみえた。,어두운 골목 안쪽에 사람 모습이 보였다.
人柄,ひとがら,인품,JLPT_1 JLPT,/qphiwM6!>,面接では能力だけでなく人柄も見られる。,めんせつではのうりょくだけでなくひとがらもみられる。,면접에서는 능력뿐 아니라 인품도 평가한다.
人質,ひとじち,인질,JLPT_1 JLPT,B>bxcp-eAy,犯人は乗客を人質に取って立てこもった。,はんにんはじょうきゃくをひとじちにとってたてこもった。,범인은 승객을 인질로 잡고 농성했다.
微妙,びみょう,미묘함,JLPT_1 JLPT,"<+fK,j.<)L",二人の発言には微妙な違いがある。,ふたりのはつげんにはびみょうなちがいがある。,두 사람의 발언에는 미묘한 차이가 있다.
評判,ひょうばん,평판,JLPT_1 JLPT,ete*bYpsQ@,駅前の新しい店は評判がいい。,えきまえのあたらしいみせはひょうばんがいい。,역 앞의 새 가게는 평판이 좋다.
披露,ひろう,"피로, 공표함",JLPT_1 JLPT,.U>@*$QrYD,披露宴で新郎が得意な歌を披露した。,ひろうえんでしんろうがとくいなうたをひろうした。,피로연에서 신랑이 자신 있는 노래를 선보였다.
貧富,ひんぷ,빈부,JLPT_1 JLPT,|=kL|cFD?W,教育の機会が貧富で左右されてはならない。,きょういくのきかいがひんぷでさゆうされてはならない。,교육 기회가 빈부에 좌우되어서는 안 된다.
普及,ふきゅう,보급,JLPT_1 JLPT,0-n>bA7i9f,スマートフォンは短期間で広く普及した。,すまーとふぉんはたんきかんでひろくふきゅうした。,스마트폰은 짧은 기간에 널리 보급되었다.
侮辱,ぶじょく,모욕,JLPT_1 JLPT,/UMXn7;`b6,観客から侮辱的な言葉を浴びせられた。,かんきゃくからぶじょくてきなことばをあびせられた。,관객에게서 모욕적인 말을 들었다.
再び,ふたたび,"재차, 다시",JLPT_1 JLPT,Mz@hcY(t]B,十年後、二人は同じ場所で再び会った。,じゅうねんご、ふたりはおなじばしょでふたたびあった。,10년 뒤 두 사람은 같은 곳에서 다시 만났다.
負担,ふたん,부담,JLPT_1 JLPT,]w|fp.i}`_,家賃の値上げが家計の負担になっている。,やちんのねあげがかけいのふたんになっている。,집세 인상이 가계에 부담이 되고 있다.
復興,ふっこう,부흥,JLPT_1 JLPT,$e7;<;C@ub,住民が力を合わせて町の復興を進めた。,じゅうみんがちからをあわせてまちのふっこうをすすめた。,주민들이 힘을 합쳐 마을의 부흥을 추진했다.
赴任,ふにん,부임,JLPT_1 JLPT,`mL(?_J2^?,来月から大阪支社へ赴任することになった。,らいげつからおおさかししゃへふにんすることになった。,다음 달부터 오사카 지사로 부임하게 되었다.
腐敗,ふはい,부패,JLPT_1 JLPT,SD*[mPMqT[,暑さで冷蔵庫の食材が腐敗した。,あつさでれいぞうこのしょくざいがふはいした。,더위로 냉장고의 식재료가 부패했다.
不平等,ふびょうどう,불평등,JLPT_1 JLPT,<~6wuN}E3Y,性別による賃金の不平等をなくす。,せいべつによるちんぎんのふびょうどうをなくす。,성별에 따른 임금 불평등을 없앤다.
踏み場,ふみば,발 디딜 곳,JLPT_1 JLPT,%`6kV_0ssv,部屋は荷物だらけで踏み場もない。,へやはにもつだらけでふみばもない。,방은 짐투성이라 발 디딜 곳도 없다.
閉鎖,へいさ,폐쇄,JLPT_1 JLPT,[LOz)i%nH>,採算が取れず工場の閉鎖が決まった。,さいさんがとれずこうじょうのへいさがきまった。,수지가 맞지 않아 공장 폐쇄가 결정되었다.
別荘,べっそう,별장,JLPT_1 JLPT,UR*vFrC9|5,夏休みは湖畔の別荘で過ごした。,なつやすみはこはんのべっそうですごした。,여름휴가는 호숫가 별장에서 보냈다.
返済,へんさい,"반제, (빚을) 갚음",JLPT_1 JLPT,41vZKw]Lmt,借りたお金を毎月少しずつ返済する。,かりたおかねをまいつきすこしずつへんさいする。,빌린 돈을 매달 조금씩 갚는다.
変遷,へんせん,변천,JLPT_1 JLPT,|w&X46T5zQ,町並みの変遷を古い写真でたどる。,まちなみのへんせんをふるいしゃしんでたどる。,거리 풍경의 변천을 오래된 사진으로 더듬어 본다.
奉仕,ほうし,봉사,JLPT_1 JLPT,gxiLaYn6/i,休日は地域への奉仕として公園を清掃した。,きゅうじつはちいきへのほうしとしてこうえんをせいそうした。,휴일에는 지역 봉사의 일환으로 공원을 청소했다.
膨大,ぼうだい,방대함,JLPT_1 JLPT,"1D,ixgCQ&g",調査で膨大な量の資料が集まった。,ちょうさでぼうだいなりょうのしりょうがあつまった。,조사로 방대한 양의 자료가 모였다.
冒頭,ぼうとう,"모두, 서두",JLPT_1 JLPT,;fLj|=5wa`,司会者が番組の冒頭で趣旨を説明した。,しかいしゃがばんぐみのぼうとうでしゅしをせつめいした。,진행자가 프로그램 서두에서 취지를 설명했다.
豊富,ほうふ,풍부함,JLPT_1 JLPT,rg6+bQmjlX,この海には魚の種類が豊富だ。,このうみにはさかなのしゅるいがほうふだ。,이 바다에는 물고기 종류가 풍부하다.
抱負,ほうふ,포부,JLPT_1 JLPT,tDI2jSd*6$,新入社員が今後の抱負を力強く語った。,しんにゅうしゃがこんごのほうふをちからづよくかたった。,신입 사원이 앞으로의 포부를 힘차게 말했다.
飽和,ほうわ,포화,JLPT_1 JLPT,bVboY8Id5H,連休初日は高速道路が飽和状態になった。,れんきゅうしょにちはこうそくどうろがほうわじょうたいになった。,연휴 첫날 고속도로가 포화 상태가 되었다.
朗らか,ほがらか,명랑함,JLPT_1 JLPT,"01rj|,@i5j",祖母はいつも朗らかな笑顔で迎えてくれる。,そぼはいつもほがらかなえがおでむかえてくれる。,할머니는 언제나 밝은 미소로 맞아 주신다.
誇る,ほこる,자랑하다,JLPT_1 JLPT,e<#?0*saBF,この町は美しい海岸を誇っている。,このまちはうつくしいかいがんをほこっている。,이 도시는 아름다운 해안을 자랑한다.
墓地,ぼち,묘지,JLPT_1 JLPT,f3#OU@=@pX,丘の上に地域で最も古い墓地がある。,おかのうえにちいきでもっともふるいぼちがある。,언덕 위에 지역에서 가장 오래된 묘지가 있다.
滅ぶ,ほろぶ,멸망하다,JLPT_1 JLPT,_YS*1U=%[h,環境の変化に適応できない種は滅ぶ。,かんきょうのへんかにてきおうできないしゅはほろぶ。,환경 변화에 적응하지 못하는 종은 멸망한다.
本場,ほんば,본고장,JLPT_1 JLPT,=zqM(MyQF;,本場の職人からパン作りを学んだ。,ほんばのしょくにんからぱんづくりをまなんだ。,본고장의 장인에게 빵 만드는 법을 배웠다.
奔放な,ほんぽうな,(자유)분방한,JLPT_1 JLPT,uhlo_qp4v[,彼女は常識に縛られない奔放な作品を描く。,かのじょはじょうしきにしばられないほんぽうなさくひんをえがく。,그녀는 상식에 얽매이지 않는 자유분방한 작품을 그린다.
賄う,まかなう,"조달하다, 마련하다, 식사를 제공하다",JLPT_1 JLPT,L9<za!4C^x,会費だけで活動費のすべてを賄った。,かいひだけでかつどうひのすべてをまかなった。,회비만으로 활동비 전부를 충당했다.
紛らわしい,まぎらわしい,헷갈리기 쉽다,JLPT_1 JLPT,FVyqZt>50B,名前が似ていて紛らわしい商品が多い。,なまえがにていてまぎらわしいしょうひんがおおい。,이름이 비슷해 헷갈리기 쉬운 상품이 많다.
街角,まちかど,길모퉁이,JLPT_1 JLPT,"Jx,N#7?8yz",街角で懐かしい友人に偶然出会った。,まちかどでなつかしいゆうじんにぐうぜんであった。,길모퉁이에서 반가운 친구를 우연히 만났다.
磨く,みがく,닦다,JLPT_1 JLPT,5:0KiU|6>j,毎晩、柔らかい布で靴を磨く。,まいばん、やわらかいぬのでくつをみがく。,매일 밤 부드러운 천으로 구두를 닦는다.
自ら,みずから,스스로,JLPT_1 JLPT,C>w15Qo-bo,社長自ら被災地へ出向いて謝罪した。,しゃちょうみずからひさいちへでむいてしゃざいした。,사장이 직접 재해 지역을 찾아가 사과했다.
身近,みぢか,"자기 몸에 가까운 곳, 신변",JLPT_1 JLPT,U.:g8jz&E-,防災をもっと身近な問題として考えよう。,ぼうさいをもっとみぢかなもんだいとしてかんがえよう。,방재를 더 가까운 문제로 생각해 보자.
源,みなもと,"근원, 수원",JLPT_1 JLPT,|^]D4MtYpz,川の源を求めて山奥まで歩いた。,かわのみなもとをもとめてやまおくまであるいた。,강의 발원지를 찾아 깊은 산속까지 걸었다.
無言,むごん,"무언, 말이 없음",JLPT_1 JLPT,##.W*vXOs;,彼は質問に答えず無言で立ち去った。,かれはしつもんにこたえずむごんでたちさった。,그는 질문에 답하지 않고 말없이 떠났다.
矛盾,むじゅん,모순,JLPT_1 JLPT,Q*lrZcN%WA,彼の説明は前後で矛盾している。,かれのせつめいはぜんごでむじゅんしている。,그의 설명은 앞뒤가 모순된다.
無条件,むじょうけん,무조건,JLPT_1 JLPT,7A0PQ2}i30,会社は無条件で返品に応じた。,かいしゃはむじょうけんでへんぴんにおうじた。,회사는 조건 없이 반품을 받아들였다.
